bin,n,mean_pred,frac_pos,abs_error
"(-0.001, 0.1]",13,0.05150594122130433,0.07692307692307693,0.0254171357017726
"(0.1, 0.2]",24,0.12721548348137937,0.041666666666666664,0.08554881681471271
"(0.2, 0.3]",21,0.25820365070424167,0.09523809523809523,0.16296555546614644
"(0.3, 0.4]",5,0.35125485268605944,0.4,0.048745147313940584
"(0.4, 0.5]",9,0.4669268609617918,0.4444444444444444,0.022482416517347392
"(0.5, 0.6]",20,0.5461533953226572,0.55,0.0038466046773428797
"(0.6, 0.7]",9,0.6645494972482432,0.4444444444444444,0.22010505280379877
"(0.7, 0.8]",17,0.7482636206449549,0.8235294117647058,0.07526579111975096
"(0.8, 0.9]",36,0.8589162400586517,0.9166666666666666,0.05775042660801488
"(0.9, 1.0]",30,0.9407619395631701,1.0,0.05923806043682989
