k,n_features,mean_auc,std_auc,mean_avg_precision,std_avg_precision,model_path,model_size_bytes
1,1,0.7464777017622547,0.019083142354074916,0.7257142564804012,0.018241595760216917,../artifacts/topk_models\pipeline_top1.joblib,86216
2,2,0.7961483713516233,0.016160733862742496,0.7868461766717714,0.011559174199626491,../artifacts/topk_models\pipeline_top2.joblib,99819
3,3,0.8155193095572498,0.014225847080976533,0.8012453943045068,0.007237993886589653,../artifacts/topk_models\pipeline_top3.joblib,113521
4,4,0.8264001315356329,0.017389850462186225,0.8245881633762657,0.019101678447126014,../artifacts/topk_models\pipeline_top4.joblib,122694
5,5,0.8456791492157347,0.02443744770120849,0.8449673946257354,0.02536294232943088,../artifacts/topk_models\pipeline_top5.joblib,123110
6,6,0.8628143220826147,0.025883981621074883,0.8621359132259911,0.013885062520237516,../artifacts/topk_models\pipeline_top6.joblib,124062
7,7,0.869704585287241,0.02432747178838637,0.8719677909790923,0.023710654755338054,../artifacts/topk_models\pipeline_top7.joblib,124681
8,8,0.8710846425480572,0.03020649330170664,0.8689562908004298,0.03785133681074388,../artifacts/topk_models\pipeline_top8.joblib,125091
9,9,0.874569771791994,0.024760043534087253,0.8795157364656114,0.02882375543646924,../artifacts/topk_models\pipeline_top9.joblib,125501
10,10,0.8741817346559895,0.024429551120936647,0.874892437927431,0.03090357887122405,../artifacts/topk_models\pipeline_top10.joblib,125537
11,11,0.8753082910264481,0.023198720267930215,0.8783447753015615,0.021382700751838353,../artifacts/topk_models\pipeline_top11.joblib,125607
12,12,0.8761694072263179,0.022616678528086846,0.8762374029926754,0.018568031759918373,../artifacts/topk_models\pipeline_top12.joblib,125745
13,13,0.8765422623146201,0.022543083036104042,0.8771353327485482,0.01710883849257001,../artifacts/topk_models\pipeline_top13.joblib,125407
14,14,0.8761857368767938,0.02271858676384889,0.8783701492347575,0.0164973357675435,../artifacts/topk_models\pipeline_top14.joblib,125545
15,15,0.8745792263542942,0.022701056775744487,0.8742736335911168,0.017236662764617515,../artifacts/topk_models\pipeline_top15.joblib,125683
16,16,0.8767849609990531,0.020226090819586397,0.8765059977015739,0.020814973119441187,../artifacts/topk_models\pipeline_top16.joblib,125345
17,17,0.8758953161663188,0.022044761853697015,0.8765104478765879,0.023801314316892638,../artifacts/topk_models\pipeline_top17.joblib,125211
18,18,0.873653223219619,0.023097375710241404,0.8773644366366911,0.02227595209738505,../artifacts/topk_models\pipeline_top18.joblib,125281
19,19,0.8748241254880821,0.021820930311025947,0.8769441233716607,0.02196129139381541,../artifacts/topk_models\pipeline_top19.joblib,124943
20,20,0.8752176268978437,0.022441173000545232,0.8772647185757266,0.02187202402203197,../artifacts/topk_models\pipeline_top20.joblib,124945
21,21,0.8752361043553456,0.02242024759125288,0.8772392536414145,0.021887064437492405,../artifacts/topk_models\pipeline_top21.joblib,124947
22,22,0.87472945703298,0.02264278818377134,0.876421299021275,0.023168285989980116,../artifacts/topk_models\pipeline_top22.joblib,125017
23,23,0.87472945703298,0.02264278818377134,0.876421299021275,0.023168285989980116,../artifacts/topk_models\pipeline_top23.joblib,125019
24,24,0.87472945703298,0.02264278818377134,0.876421299021275,0.023168285989980116,../artifacts/topk_models\pipeline_top24.joblib,125021
25,25,0.87472945703298,0.02264278818377134,0.876421299021275,0.023168285989980116,../artifacts/topk_models\pipeline_top25.joblib,125023
